日付,何の日リスト
1/1,元日|太陽暦施行の日|神戸港記念日|中華民国設立記念日|少年法施行の日|鉄腕アトムの日|日本初の点字新聞「あけぼの」創刊記念日|オールインワンゲルの日|スカルプDの発毛DAY|肉汁水餃子の日|資格チャレンジの日|釜飯の日
1/2,初荷|初夢の日|月ロケットの日|新年一般参賀|書き初め|初売り|箱根駅伝|Life2.0の日|夾竹桃忌
1/3,元始祭|ひとみの日|駆け落ちの日|戊辰戦争開戦の日|箱根駅伝|くるみパンの日|みたらしだんごの日|ビースリーの日
1/4,世界点字デー|石の日|みたらしだんごの日
1/5,小寒|新年宴会|魚河岸初競り|囲碁の日|いちごの日・いちご世代の日|つむぎの日|シンデレラの日|ホームセキュリティの日|遺言の日|みたらしだんごの日|長城清心丸の日
1/6,御用始め・仕事始め|取引所大発会|東京消防出初式|六日年越し|顕現日|色の日|ホーリー・スリー・キングス・デー|ケーキの日|佐久鯉誕生の日|まくらの日|カラーの日|イチロクの日
1/7,人日の節句・七日正月|七草の日|爪切りの日|千円札発行の日|消救車の日|ケンピの日|生パスタの日|Doleバナ活の日|夕霧忌
1/8,正月事納め|「平成」改元の日|勝負事の日|ロックの日|外国郵便の日|イヤホンの日|遺影撮影の日|大戸屋・定食の日|能登ヒバの日|信州地酒で乾杯の日|歯ブラシ交換デー|ホールケーキの日
1/9,とんちの日・クイズの日|風邪の日|ジャマイカ ブルーマウンテンコーヒーの日|一番くじの日|クレープの日|パソコン検定の日|えのすいクラゲの日|青々忌
1/10,110番の日|さんま寿司の日|十日戎|明太子の日|かんぴょうの日|糸引き納豆の日（糸の日）|インテリア検定の日|豊後高田市移住の日|ワンテンの日|イトウの日|インターンの日|インターンシップの日
1/11,鏡開き|蔵開き|樽酒の日|塩の日|マカロニサラダの日|UNO（ウノ）の日|アスパラガスビスケットの日|イラストレーションの日|シャー芯の日|ラッキー1番・ラッピー君の誕生日|はじめます宣言の日|髪について考える日
1/12,スキー記念日|桜島の日|いいにんじんの日|いいねの日（エールを送る日）|豆腐の日|育児の日|パンの日|わんにゃんの日
1/13,成人の日|ピース記念日|咸臨丸出航記念日|遺言の意味を考える日|伊達のあんぽ柿の日|一汁三菜の日|石井スポーツグループ 登山の日|お父さんの日|虚空蔵の縁日
1/14,左義長|タロとジロの日（愛と希望と勇気の日）|尖閣諸島開拓の日|褒め言葉カードの日|マンリーデー|婚活作戦会議の日|丸大燻製屋・ジューシーの日|クラシコ・医師の日
1/15,小正月|左義長|半襟の日|警視庁創設記念日|手洗いの日|フードドライブの日|ウィキペディアの日|アダルトの日|「適サシ肉」の日|くりこ庵・たい焼きの日|いちごの日
1/16,薮入り|閻魔参り・閻魔賽日|念仏の口開け|禁酒の日|囲炉裏の日|ヒーローの日|トロの日|十六茶の日|いい色髪の日|「森のたまご」の日
1/17,防災とボランティアの日|ひょうご安全の日|おむすびの日|湾岸戦争開戦の日|今月今夜の月の日|国産なす消費拡大の日|いなりの日|減塩の日
1/18,都バス開業の日|118番の日|初観音|振袖火事の日|カップスターの日|ひらく|いい鼻の日|いい部屋の日|愛するチンチラの日|いい菌バランスの日|防犯の日|オコパー・タコパーの日
1/19,のど自慢の日|家庭用消火器点検の日|いいくちの日|イチジク浣腸の日|はっぴいおかん・大阪いちじくの日|空気清浄機の日|ワンクの日|三十路の日|「信州・まつもと鍋」の日|クレープの日|シュークリームの日|熟カレーの日
1/20,大寒|二十日正月|玉の輿の日|血栓予防の日|トゥー・チェロズの日|海外団体旅行の日|アメリカ大統領就任式|インクルーシブを考える日|黒生メルティの日|シマエナガの日|甘酒の日|ぬか床の日
1/21,料理番組の日|初大師・初弘法|ライバルが手を結ぶ日|ユニベアシティの日|スイートピーの日|Spartyのパーソナライズ記念日|瞳の黄金比率の日|マリルージュの日|myDIYの日|ゼクシオの日（XXIOの日）|木挽BLUEの日|久女忌
1/22,カレーライスの日・カレーの日|ジャズの日|飛行船の日|夫婦の日|ショートケーキの日|禁煙の日|デルちゃん誕生の日|ラブラブサンドの日|カニカマの日|なないろSMSの日|黙阿弥忌
1/23,電子メールの日|ワン・ツー・スリーの日|八甲田山の日|真白き富士の嶺の日|アーモンドの日|碧南人参の日|六次産業の日|アート引越センターの日|八丈島から南大東島への上陸記念日|花粉対策の日|算額文化を広める日|一無
1/24,教育の国際デー|法律扶助の日|郵便制度施行記念日|ゴールドラッシュの日|ボーイスカウト創立記念日|結祝フィナンシェの日|エムセラ・尿失禁改善の日|ブルボン・プチの日|葦平忌|地蔵の縁日|愛宕の縁日|全国学校給食週間
1/25,日本最低気温の日|お詫びの日|中華まんの日・あったか旭川まんの日|左遷の日|石ノ森章太郎生誕記念日|菅公学生服の日|美容記念日|ホットケーキの日|一室入魂の日|とちぎのいちごの日|主婦休みの日|プリンの日
1/26,文化財防火デー|有料駐車場の日・パーキングメーターの日|帝銀事件の日|携帯アプリの日|コラーゲンの日|1ドア2ロックの日|腸内フローラの日|モンチッチの日|ファーストバスデー|風呂の日|プルーンの日|ツローの日
